"MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","selected","shared name"
,"Unclustered","2.142857142857143","ACTR1B","false","ACTR1B"
"Cluster 22","Clustered","2.0915032679738563","STX5","false","STX5"
"Cluster 9","Clustered","6.0","TWF2","false","TWF2"
"Cluster 6","Clustered","9.0","ARF4","false","ARF4"
,"Unclustered","2.7","RIC8A","false","RIC8A"
,"Unclustered","2.0","BICDL2","false","BICDL2"
,"Unclustered","0.6545454545454545","CDK11B","false","CDK11B"
,"Unclustered","2.628205128205128","BET1L","false","BET1L"
"Cluster 6","Clustered","9.0","ARFGAP2","false","ARFGAP2"
"Cluster 6","Clustered","9.0","KLC2","false","KLC2"
"Cluster 6","Clustered","9.0","DCTN2","false","DCTN2"
,"Unclustered","0.7857142857142857","EXOC3","false","EXOC3"
"Cluster 5","Clustered","6.805555555555555","HIP1R","false","HIP1R"
,"Unclustered","2.0","CORO1B","false","CORO1B"
"Cluster 18","Clustered","3.5454545454545454","SOS1","false","SOS1"
,"Unclustered","1.0476190476190477","DBNL","false","DBNL"
,"Unclustered","1.6666666666666667","CORO1C","false","CORO1C"
,"Unclustered","1.4","CAP1","false","CAP1"
,"Unclustered","1.2","ADAM17","false","ADAM17"
"Cluster 20","Clustered","2.7","RHBDF1","false","RHBDF1"
"Cluster 19","Clustered","5.117647058823529","MAPK3","false","MAPK3"
,"Unclustered","1.2","MMEL1","false","MMEL1"
,"Unclustered","0.6666666666666666","IGSF8","false","IGSF8"
"Cluster 21","Clustered","3.4","HIF1A","false","HIF1A"
,"Unclustered","2.0","ADAM9","false","ADAM9"
,"Unclustered","2.7","JAG2","false","JAG2"
,"Unclustered","1.6666666666666667","UNC119","false","UNC119"
,"Unclustered","0.5","TEC","false","TEC"
,"Unclustered","0.3333333333333333","PACSIN3","false","PACSIN3"
,"Unclustered","0.6666666666666666","ADAP1","false","ADAP1"
,"Unclustered","0.0","CAMSAP3","false","CAMSAP3"
,"Unclustered","1.3636363636363635","ADAT3","false","ADAT3"
,"Unclustered","1.5333333333333332","QTRT1","false","QTRT1"
"Cluster 19","Clustered","6.0","NAGS","false","NAGS"
,"Unclustered","2.0","SCAMP4","false","SCAMP4"
,"Unclustered","1.0666666666666667","UCKL1","false","UCKL1"
"Cluster 11","Clustered","4.0","ZNF628","false","ZNF628"
"Cluster 11","Clustered","4.0","ZBTB45","false","ZBTB45"
,"Unclustered","7.822222222222222","TRMT1","false","TRMT1"
"Cluster 11","Clustered","5.0","RPUSD1","false","RPUSD1"
,"Unclustered","2.1999999999999997","MTAP","false","MTAP"
,"Unclustered","7.822222222222222","CTU1","false","CTU1"
,"Unclustered","9.848484848484848","TRMT61A","false","TRMT61A"
,"Unclustered","8.590909090909092","SMUG1","false","SMUG1"
"Cluster 15","Clustered","2.7","ADCK1","false","ADCK1"
"Cluster 15","Clustered","2.7","ADCK2","false","ADCK2"
"Cluster 15","Seed","3.0","COQ10A","false","COQ10A"
"Cluster 15","Clustered","2.7","COQ8B","false","COQ8B"
,"Unclustered","0.6666666666666666","STK16","false","STK16"
,"Unclustered","2.0","AMDHD2","false","AMDHD2"
"Cluster 20","Clustered","2.727272727272727","ADCY3","false","ADCY3"
,"Unclustered","9.35897435897436","NME3","false","NME3"
,"Unclustered","8.672727272727272","NME4","false","NME4"
"Cluster 20","Clustered","2.708333333333333","GNB4","false","GNB4"
"Cluster 20","Clustered","2.619047619047619","CALM3","false","CALM3"
"Cluster 20","Clustered","2.708333333333333","GNB2","false","GNB2"
"Cluster 18","Clustered","4.0","SH2B1","false","SH2B1"
"Cluster 19","Clustered","5.0","PDE10A","false","PDE10A"
"Cluster 20","Clustered","2.708333333333333","GNG5","false","GNG5"
"Cluster 19","Clustered","5.0","ENTPD8","false","ENTPD8"
"Cluster 19","Clustered","5.0","NUDT2","false","NUDT2"
"Cluster 21","Clustered","3.6923076923076925","AKT2","false","AKT2"
"Cluster 19","Clustered","6.0","CAMK2B","false","CAMK2B"
"Cluster 19","Clustered","5.0","CHMP2A","false","CHMP2A"
,"Unclustered","2.0","PRKAR1B","false","PRKAR1B"
"Cluster 20","Clustered","3.0","ADGRL1","false","ADGRL1"
"Cluster 20","Clustered","3.0","PPP1R7","false","PPP1R7"
,"Unclustered","2.0","LRFN3","false","LRFN3"
,"Unclustered","0.4","LRRC56","false","LRRC56"
,"Unclustered","2.0","LRWD1","false","LRWD1"
,"Unclustered","1.6666666666666667","LRFN4","false","LRFN4"
"Cluster 31","Clustered","1.6666666666666667","LRRC61","false","LRRC61"
,"Unclustered","0.0","LRRC26","false","LRRC26"
,"Unclustered","1.2","SZRD1","false","SZRD1"
,"Unclustered","4.0","ADSS1","false","ADSS1"
"Cluster 19","Clustered","6.0","ASL","false","ASL"
"Cluster 2","Clustered","11.357894736842105","RPL17","false","RPL17"
"Cluster 2","Clustered","12.330882352941176","HMGN2","false","HMGN2"
,"Unclustered","5.785714285714286","DOHH","false","DOHH"
,"Unclustered","3.0","ENTPD6","false","ENTPD6"
"Cluster 19","Clustered","5.0","NT5C2","false","NT5C2"
,"Unclustered","0.0","AGAP3","false","AGAP3"
,"Unclustered","2.0","TMUB1","false","TMUB1"
,"Unclustered","0.0","AGFG2","false","AGFG2"
"Cluster 12","Clustered","4.761904761904762","AGRN","false","AGRN"
"Cluster 12","Clustered","4.761904761904762","B4GALT7","false","B4GALT7"
