"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048705","GO:0048705","skeletal system morphogenesis","23/445","229/18614",7.22610513804544e-09,6.87008727514662e-07,5.39870756141521e-07,"649/1490/1301/1277/1281/1311/8817/26585/3224/3234/4322/4323/4325/4313/579/5156/5396/860/6424/7043/338773/7291/6935",23
"GO:0007369","GO:0007369","gastrulation","21/445","196/18614",1.04634527472476e-08,9.71108066875504e-07,7.63123997355652e-07,"100506013/1301/1303/1289/1290/1291/1294/1295/2335/3624/3678/3690/3912/4323/4313/91663/23187/6423/26011/79971/7474",21
"GO:0048762","GO:0048762","mesenchymal cell differentiation","24/445","255/18614",1.22436117620543e-08,1.10989764298809e-06,8.72188744861152e-07,"1277/340665/1601/147906/1909/10979/2335/2295/26585/9464/26508/4017/3084/10630/23187/223117/6423/4092/6910/7041/7043/7291/7472/7474",24
"GO:0007179","GO:0007179","transforming growth factor beta receptor signaling pathway","22/445","218/18614",1.41016281116831e-08,1.24927605407592e-06,9.81716215430569e-07,"9719/54829/8483/1278/1281/1601/27122/11117/2200/10979/5654/94031/4015/2615/4053/9315/56937/65997/4092/7041/7043/6935",22
"GO:0003205","GO:0003205","cardiac chamber development","19/445","166/18614",1.79869376142547e-08,1.55806850711922e-06,1.22437399900541e-06,"11174/3491/1301/1909/2702/9464/26508/4634/3084/55742/6299/57167/6423/4092/6910/7168/7472/7474/23414",19
"GO:0022617","GO:0022617","extracellular matrix disassembly","12/445","62/18614",2.20117143411201e-08,1.86525353264535e-06,1.46576862088465e-06,"1513/4921/2191/9622/4035/4319/4320/4322/4323/4327/4313/10630",12
"GO:0090101","GO:0090101","negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","19/445","169/18614",2.41392807380584e-08,2.00201949610535e-06,1.57324315672452e-06,"9719/54829/8483/11117/2200/10468/26585/5654/94031/4035/4681/56937/65997/6423/4092/7041/7043/7130/7474",19
"GO:0072006","GO:0072006","nephron development","18/445","152/18614",2.50652834141125e-08,2.03550989058772e-06,1.59956084945323e-06,"59/170690/285/1909/2028/2246/26585/26508/3690/55083/4811/5156/5159/6299/23213/55959/25789/10413",18
"GO:0001837","GO:0001837","epithelial to mesenchymal transition","19/445","172/18614",3.21797032428797e-08,2.55992822940296e-06,2.0116635109942e-06,"1277/1601/147906/1909/10979/2295/26585/26508/4017/10630/23187/6423/4092/6910/7041/7043/7291/7472/7474",19
"GO:0001649","GO:0001649","osteoblast differentiation","23/445","250/18614",3.78080691114812e-08,2.94751706793108e-06,2.3162417076718e-06,"3491/8840/1277/1291/115908/4921/10979/26585/9464/22801/4015/9902/9260/5587/5745/860/6423/338773/7130/7291/117581/1462/10413",23
